messung	Anzahl		
1	2417		
2	2595		
3	2392		
4	2486		
5	2281		
6	2379		
7	2433		
8	2368		
9	2364		
10	2464		
11	2566		
12	2420		
13	2486		
14	2499		
15	2475		
16	2531		
17	2409		
18	2327		
19	2451		
20	2497		
21	2389		
22	2579		
23	2474		
24	2474		
25	2330		
26	2617		
27	2403		
28	2437		
29	2366		
30	2617		
31	2336		
32	2454		
33	2491		
34	2443		
35	2386		
36	2326		
37	2428		
38	2412		
39	2300		
40	2319		
41	2496		
42	2510		
43	2463		
44	2538		
45	2602		
46	2404		
47	2427		
48	2473		
49	2566		
50	2577		
51	2285		
52	2299		
53	2511		
54	2283		
55	2390		
56	2482		
57	2435		
58	2490		
59	2352		
60	2447		
61	2531		
62	2494		
63	2283		
64	2422		
65	2531		
66	2490		
67	2431		
68	2389		
69	2514		
70	2358		
71	2322		
72	2378		
73	2562		
74	2476		
75	2537		
76	2429		
77	2545		
78	2474		
79	2419		
80	2387		
81	2421		
82	2376		
83	2341		
84	2589		
85	2356		
86	2564		
87	2448		
88	2356		
89	2223		
90	2278		
91	2612		
92	2401		
93	2659		
94	2677		
95	2409		
96	2528		
97	2549		
98	2408		
99	2323		
100	2382		
