Druck in mbar;Zählrate;Channel ;Maximum;effektive Länge
0;55341;831;190;0
50;54428;816;195;0.00148075
100;53962;791;201;0.0029615
150;53946;775;213;0.004442251
200;52866;715;234;0.005923001
250;52531;663;234;0.007403751
300;51795;615;242;0.008884501
350;51292;611;263;0.010365252
400;50646;583;252;0.011846002
450;49603;547;256;0.013326752
500;48743;527;276;0.014807502
550;47524;492;261;0.016288253
600;45813;431;268;0.017769003
650;42665;371;278;0.019249753
700;36549;348;283;0.020730503
750;24399;271;288;0.022211254
800;15029;262;256;0.023692004
850;3142;97;262;0.025172754
900;92;6;262;0.026653504
950;10;1;274;0.028134255
1000;1;1;259;0.029615005
