Druck in mbar	Zaehlrate	Channel 	Energie in MeV	Maximum	effektive Laenge
0	55341	831	4.0000	190	0.0000
50	54428	816	3.9278	195	0.0015
100	53962	791	3.8075	201	0.0030
150	53946	775	3.7304	213	0.0044
200	52866	715	3.4416	234	0.0059
250	52531	663	3.1913	234	0.0074
300	51795	615	2.9603	242	0.0089
350	51292	611	2.9410	263	0.0104
400	50646	583	2.8063	252	0.0118
450	49603	547	2.6330	256	0.0133
500	48743	527	2.5367	276	0.0148
550	47524	492	2.3682	261	0.0163
600	45813	431	2.0746	268	0.0178
650	42665	371	1.7858	278	0.0192
700	36549	348	1.6751	283	0.0207
750	24399	271	1.3045	288	0.0222
800	15029	262	1.2611	256	0.0237
850	3142	97	0.4669	262	0.0252
