Druck in mbar	Zaehlrate	Channel 	Energie in MeV	Maximum	Effektive L�nge
0	31206	830	4	109	0.0000
50	30522	768	3.70120482	125	0.0022
100	30102	745	3.590361447	121	0.0044
150	29734	675	3.253012049	137	0.0067
200	29168	668	3.219277109	146	0.0089
250	28700	631	3.040963856	147	0.0111
300	28323	559	2.693975904	159	0.0133
350	27222	536	2.583132531	155	0.0155
400	26401	463	2.231325302	162	0.0178
450	25624	412	1.985542169	162	0.0200
500	22454	367	1.768674699	168	0.0222
550	16202	295	1.421686747	162	0.0244
600	3458	271	1.306024097	76	0.0267
650	107	286	1.378313253	6	0.0289
700	7	462	2.226506025	1	0.0311
750	1	315	1.51807229	1	0.0333
800	0	0	0	0	0.0355
